split,id_review,id_sentence,gold1,gold2,gold3
Train,0,1,演奏者,,
Train,0,2,演奏：キャラクター・音色,,
Train,0,3,演奏：キャラクター・音色,,
Train,0,4,演奏：スタイル・理解,演奏：キャラクター・音色,
Train,0,5,演奏：エネルギー,演奏：キャラクター・音色,
Train,0,6,演奏：コミュニケーション,評価：その他,
Train,0,7,その他,,
Train,1,1,演奏者,,
Train,1,2,評価：その他,,
Train,1,3,演奏：キャラクター・音色,演奏：技術,演奏：スタイル・理解
Train,1,4,その他,,
Train,1,5,演奏：スタイル・理解,,
Train,1,6,演奏：スタイル・理解,,
Train,1,7,演奏：スタイル・理解,演奏：キャラクター・音色,
Train,1,8,評価：その他,,
Train,2,1,楽器,演奏者,録音の背景
Train,2,2,楽器,演奏者,演奏：キャラクター・音色
Train,2,3,評価：その他,,
Train,2,4,演奏：キャラクター・音色,,
Train,2,5,楽曲,演奏：キャラクター・音色,
Train,2,6,評価：感じられ方,,
Train,3,1,演奏者,楽曲,
Train,3,2,楽曲,演奏：キャラクター・音色,評価：その他
Train,3,3,評価：感じられ方,,
Train,3,4,演奏：スタイル・理解,,
Train,3,5,演奏：スタイル・理解,演奏：感情,評価：その他
#N/A,4,1,楽曲,演奏者,
#N/A,4,2,評価：感じられ方,,
#N/A,4,3,演奏：アーティキュレーション,演奏：構造,演奏：キャラクター・音色
#N/A,4,4,演奏：技術,評価：感じられ方,
#N/A,4,5,評価：感じられ方,,
Train,5,1,演奏者,楽曲,
Train,5,2,楽曲,演奏：キャラクター・音色,
Train,5,3,演奏：技術,演奏：感情,演奏：スタイル・理解
Train,5,4,楽曲,,
Train,6,1,録音の背景,,
Train,6,2,演奏者,,
Train,6,3,演奏：キャラクター・音色,,
Train,6,4,演奏者,,
Train,6,5,演奏：スタイル・理解,演奏：構造,演奏：時間的特徴
Train,6,6,評価：感じられ方,,
Dev,7,1,演奏：スタイル・理解,,
Dev,7,2,楽曲,演奏：スタイル・理解,
Dev,7,3,楽曲,演奏：キャラクター・音色,
Dev,7,4,演奏：キャラクター・音色,評価：感じられ方,
Dev,8,1,演奏者,,
Dev,8,2,楽曲,演奏：キャラクター・音色,演奏：コミュニケーション
Dev,8,3,演奏：コミュニケーション,,
Dev,8,4,演奏：コミュニケーション,演奏：構造,
#N/A,9,1,録音の背景,,
#N/A,9,2,楽曲,,
#N/A,9,3,評価：その他,演奏：エネルギー,評価：感じられ方
#N/A,9,4,演奏：構造,,
#N/A,9,5,評価：その他,評価：感じられ方,
#N/A,9,6,演奏：キャラクター・音色,評価：その他,
#N/A,9,7,演奏：エネルギー,評価：その他,
#N/A,9,8,演奏：キャラクター・音色,評価：その他,
Train,10,1,演奏者,,
Train,10,2,楽曲,,
Train,10,3,演奏：構造,演奏：技術,
Train,10,4,楽曲,録音の背景,演奏：エネルギー
Train,10,5,演奏：キャラクター・音色,評価：感じられ方,
Train,10,6,評価：その他,,
Train,11,1,その他,,
Train,11,2,演奏者,楽曲,
Train,11,3,評価：その他,,
Train,11,4,演奏：時間的特徴,楽曲,評価：感じられ方
Train,11,5,演奏：コミュニケーション,,
Train,11,6,評価：感じられ方,,
Train,11,7,演奏者,評価：その他,
Train,12,1,録音の背景,,
Train,12,2,楽曲,,
Train,12,3,演奏：スタイル・理解,評価：その他,
Train,12,4,演奏：リズム,演奏：スタイル・理解,評価：その他
Train,12,5,演奏：構造,評価：感じられ方,
Train,12,6,評価：その他,,
Train,12,7,録音の背景,,
Train,12,8,その他,,
Train,13,1,演奏：感情,,
Train,13,2,演奏者,,
Train,13,3,録音の背景,,
Train,13,4,演奏：エネルギー,,
Train,13,5,楽曲,演奏：感情,
Train,13,6,演奏者,評価：その他,
Train,13,7,演奏：キャラクター・音色,演奏：コミュニケーション,評価：その他
Dev,14,1,演奏者,,
Dev,14,2,録音の背景,楽曲,
Dev,14,3,楽曲,録音の背景,
Dev,14,4,演奏：スタイル・理解,演奏：キャラクター・音色,
Dev,14,5,演奏：構造,評価：その他,
Dev,14,6,演奏：キャラクター・音色,,
Dev,14,7,演奏：スタイル・理解,演奏：構造,評価：その他
Test,15,1,その他,,
Test,15,2,録音の背景,,
Test,15,3,その他,評価：その他,
Test,15,4,演奏：スタイル・理解,楽曲,評価：その他
Test,15,5,演奏：エネルギー,,
Test,15,6,評価：その他,,
Train,16,1,録音の背景,,
Train,16,2,録音の背景,演奏：スタイル・理解,
Train,16,3,演奏：スタイル・理解,演奏：エネルギー,
Train,16,4,演奏：エネルギー,,
Train,16,5,演奏：スタイル・理解,評価：感じられ方,評価：その他
Train,16,6,楽曲,演奏：キャラクター・音色,評価：感じられ方
Train,16,7,評価：その他,,
Test,17,1,録音の背景,,
Test,17,2,楽曲,評価：その他,
Test,17,3,演奏：キャラクター・音色,演奏：技術,演奏：エネルギー
Test,17,4,楽器,,
Test,17,5,楽曲,,
Train,18,1,演奏者,楽曲,
Train,18,2,楽曲,,
Train,18,3,楽曲,,
Train,18,4,録音の背景,,
Train,18,5,演奏：スタイル・理解,,
Train,18,6,演奏者,評価：その他,
Train,18,7,演奏：コミュニケーション,,
Dev,19,1,楽曲,,
Dev,19,2,録音の背景,楽曲,
Dev,19,3,楽曲,,
Dev,19,4,演奏：技術,評価：その他,
Train,20,1,演奏：構造,演奏：コミュニケーション,演奏：エネルギー
Train,20,2,演奏：技術,評価：対比,
Train,20,3,評価：対比,楽曲,演奏：技術
Train,20,4,録音の背景,演奏者,演奏：エネルギー
Train,21,1,楽曲,楽器,
Train,21,2,演奏：キャラクター・音色,演奏：アーティキュレーション,楽器
Train,21,3,演奏：技術,楽曲,
Train,21,4,楽曲,評価：その他,
Train,21,5,楽曲,評価：感じられ方,
Dev,22,1,演奏者,録音の背景,
Dev,22,2,録音の背景,楽曲,
Dev,22,3,楽器,,
Dev,22,4,演奏：キャラクター・音色,評価：感じられ方,
Dev,22,5,演奏：キャラクター・音色,演奏：感情,
Train,23,1,演奏者,録音の背景,
Train,23,2,楽曲,楽器,
Train,23,3,楽曲,,
Train,23,4,演奏：スタイル・理解,,
Train,23,5,演奏：スタイル・理解,,
Train,23,6,録音の背景,,
Dev,24,1,評価：感じられ方,,
Dev,24,2,楽曲,,
Dev,24,3,楽曲,,
Dev,24,4,その他,,
Dev,24,5,楽曲,,
Train,25,1,演奏者,録音の背景,
Train,25,2,演奏者,演奏：時間的特徴,演奏：キャラクター・音色
Train,25,3,演奏：スタイル・理解,演奏：コミュニケーション,評価：感じられ方
Train,25,4,楽曲,演奏：キャラクター・音色,評価：感じられ方
Train,25,5,楽曲,演奏者,評価：感じられ方
Train,25,6,楽曲,演奏：感情,評価：感じられ方
Train,26,1,演奏者,,
Train,26,2,楽器,,
Train,26,3,演奏者,,
Train,26,4,楽曲,,
Train,26,5,楽曲,,
Train,26,6,演奏者,,
Train,26,7,評価：その他,,
Test,27,1,演奏者,録音の背景,
Test,27,2,録音の背景,評価：感じられ方,
Test,27,3,演奏：リズム,演奏：キャラクター・音色,評価：感じられ方
Test,27,4,演奏：技術,演奏：コミュニケーション,
Test,27,5,演奏：スタイル・理解,演奏者,
Test,27,6,楽曲,評価：感じられ方,
Test,27,7,楽曲,評価：感じられ方,
Test,28,1,評価：その他,,
Test,28,2,演奏：キャラクター・音色,演奏：構造,演奏：時間的特徴
Test,28,3,演奏：キャラクター・音色,評価：その他,
Test,28,4,評価：その他,演奏：時間的特徴,演奏：感情
Test,28,5,楽曲,評価：その他,
Train,29,1,演奏：スタイル・理解,,
Train,29,2,演奏：スタイル・理解,,
Train,29,3,演奏者,録音の背景,
Train,29,4,演奏者,,
Train,29,5,楽曲,,
Train,29,6,演奏者,演奏：技術,演奏：コミュニケーション
Train,30,1,演奏者,録音の背景,
Train,30,2,楽曲,演奏：キャラクター・音色,
Train,30,3,演奏：キャラクター・音色,演奏：スタイル・理解,評価：感じられ方
Train,30,4,演奏：時間的特徴,評価：真正性,
Train,30,5,評価：対比,評価：感じられ方,
Train,30,6,演奏：キャラクター・音色,演奏：構造,評価：感じられ方
Train,31,1,演奏者,評価：感じられ方,
Train,31,2,演奏：エネルギー,,
Train,31,3,演奏：時間的特徴,,
Train,31,4,演奏：構造,演奏：アーティキュレーション,
